,리뷰
0,이사온지 3주되었습니다. 단지내 공원도 맘에 들고 여유가 느껴지는 단지입니다.
1,"얼마전 31평형 이사와서 질 살고 있습니다. 
이제 곧 더워질거 같아 에어컨을 사려고 하는데요. 
17평용 에어컨 2 in1(거실 스탠드1, 안방 벽걸이1)생각하고 있습니다. 적당할까요? 
경험공유 부탁드려요."
2,"동네가 조용하고 단지내 산책로가 맘에 들어요~
정자역도 가까운 편이라서 이동도 용이합니다"
3,주차난은 없는지 궁금합니다. 이중주차를 하기도 하나요?
4,지저분한 새 둥지가 있는 나무를 밑둥까지 베어버리는 청결한 아파트입니다. 새똥으로 힘들어할까봐 둥지도 다 날려버려서 뷰가 좋네요
5,"이사온지 얼마 안됐는데 살기 정말 좋네요 단지 산책로 예쁘고 장보기도 좋아요 역가까운거야 다 아실거구요 단하나 구축이라는게 단점이었는데 수리하고 들어오니 장점밖에 없네요 신축도 살아봤지만 지금 집이 백배천배 좋아요 
걷는거 싫어하던 제가 동네 걷는 재미에 빠졌네요 ㅎㅎ"
6,15년을 살았는데 모든것들이 살기좋아요 끝까지 살고싶은 동네입니다
7,"위치가 너무좋지만 오래된 아파트의 단점 ㅠ 
배관냄새/우풍/주차문제"
8,모드 동에 엘리베이터는 교체된건가요?
9,57평 22.9억 신고가 축하합니다!!!*^^*
10,"정자역 학원 학교 가깝고 인프라 훌륭하네요~
복작거리지 않으면서 있을 건 넘치도록 있어 신기합니다~
아이들 초중 전학했는데 학교 분위기 너~무 좋다고 합니다~
새아파트 살다와서 구축 생활에 대한 두려움이 컸는데
인테리어 하고 들어오니 오히려 더 만족스럽네요~
탄천에서 강아지랑 산책 하며 힐링할 수 있고~ 
분당서울대 병원도 가까워서 든든합니다~
각종 호재와 변화의 움직임이 가득해서~
오래오래 살고 싶어요~"
11,"스세권, 케세권, 버세권입니다.
(스타벅스, 버거킹, KFC)"
12,"탑층 어떤가요? 춥거나 덥거나, 무슨 기계음 들리거나 그런거 혹시 있나요?"
13,입주예정인 사람인데요  혹시 단지내 지하주차장에 전기차용 충전기가 있을까요? 있다면 운영상황은? (너무 대기가 많다던지...)
14,오래된 단지이긴 하지만 단지와 위치가 좋아 실거주 후기가 궁금합니다!
15,"재개발 이슈가 몰리면서 더 꽉쥐고 있어야하는 곳이 아닌가합니다. 결국엔 입지일테니... 
여기서산지 3년정도 되어가는데 1층 출입문 가끔 안열리는것;; 빼고는(요즘은 비번 입력으로 해결되긴 했죠) 만족스럽게 잘 살고 있습니다 :)"
16,십수년째 거주중입니다 지금까지 만족도 높게 살아왔고 앞으로도 그럴것이라 이사계획따윈 없네요ㅎㅎ 그냥 이웃분들 반갑고 무슨 말씀 하시나 궁금해서요
17,"주차자리도 있는데 대놓고 이중주차하는 특히 324동 앞에 아반떼, 스파크 하.. 진짜 개념..어디두고 사는지  참나..본인만 편하면 된다 이건가?"
18,단지관리는 잘되나 아파트가 오래되어 그런지 층간소음이 너무 심합니다..
19,25년 산 친정집 지금 저는 서울나와 살지만 분당 특히 정자동 만한 입지가 없네요 탄천에 바로앞 큰 산책로등. 구축인거 빼곤 다 좋아요.특히나 아이 생기고 초등학교 입학즈음 되면 다시 돌아가려 합니다
20,앞에산책길이 너무좋아요 역이랑 탄천도가깝고 살기최고
21,여름엔 시원하고 겨울에 따뜻한 곳입니다
22,단지가 넓고 마트 및 지하철역이 가까워서 좋음
23,베란다가 넓게빠져 확장만해도 26평 거실도 넓어지더라구요 ㅎㅎ매우 만족합니다.ㅎㅎㅎ 조명까지 하고나니까 만족감이 넘쳐나네요 ㅎㅎ 이제 커튼 주문한것만 달면 드디어 인테리어 졸업입니다~~
24,"인테리어 해보니 새집 부럽지 않아요^^
교통 너무 좋은 상록우성 넘 기대대요^^"
25,이번달에 이사하는데요. 늦게 퇴근하면 주차가 많이 어려운가요?
26,"교통, 인프라 경기도 최고 입지입니다
오래된 아파트라서 불편함은 좀 있어요
주차, 수도 등등"
27,"마트, 지하철 가깝고 아이 키우기 아주 좋아요"
28,노후된 아파트이지만 교통이 좋아서 살기 좋아요
